Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
8,7,1751.75,5,5,4,554,Champions
66,1,53.65,3,1,1,311,Others
123,2,258.34,2,2,2,222,Others
232,1,284.86,1,1,2,112,Others
28,1,249.58,4,1,1,411,Others
16,2,409.17,4,2,2,422,Others
87,1,124.75,2,1,1,211,Others
115,7,1890.0,2,5,4,254,At Risk
325,1,310.26000000000005,1,1,2,112,Others
28,6,7207.89,4,4,5,445,Champions
21,13,4212.411,4,5,5,455,Champions
1,34,11236.95,5,5,5,555,Champions
70,2,679.4,3,2,3,323,Others
64,8,3391.52,3,5,5,355,Loyal Customers
68,1,281.76,3,1,2,312,Others
1,14,6251.71,5,5,5,555,Champions
2,7,4323.97,5,5,5,555,Champions
91,3,1655.17,2,3,4,234,At Risk
37,1,262.4,3,1,2,312,Others
47,3,1015.74,3,3,4,334,Loyal Customers
172,2,2699.48,2,2,5,225,Others
182,1,1575.26,1,1,4,114,Others
177,3,1958.6,1,3,4,134,At Risk
53,5,11364.08,3,4,5,345,Loyal Customers
98,6,299.4,2,4,2,242,At Risk
130,4,3196.11,2,4,5,245,At Risk
39,1,603.75,3,1,3,313,Others
67,4,1553.65,3,4,4,344,Loyal Customers
108,2,1450.5,2,2,4,224,Others
14,3,2303.33,5,3,5,535,Loyal Customers
45,1,731.36,3,1,3,313,Others
67,1,510.2,3,1,3,313,Others
50,2,498.1,3,2,2,322,Others
1,1,308.28000000000003,5,1,2,512,Others
7,1,754.87,5,1,3,513,Others
141,2,2297.66,2,2,5,225,Others
51,3,4274.94,3,3,5,335,Loyal Customers
50,2,422.8,3,2,2,322,Others
80,1,1013.58,2,1,4,214,Others
32,2,1552.88,4,2,4,424,Others
68,1,62.4,3,1,1,311,Others
15,6,4585.06,5,4,5,545,Champions
64,4,1164.5900000000001,3,4,4,344,Loyal Customers
179,1,305.28000000000003,1,1,2,112,Others
26,4,2528.9,4,4,5,445,Champions
50,2,835.46,3,2,3,323,Others
53,1,186.94,3,1,1,311,Others
239,1,508.55,1,1,3,113,Others
313,1,91.14,1,1,1,111,Others
219,4,1131.45,1,4,4,144,At Risk
15,11,4101.68,5,5,5,555,Champions
36,2,872.51,4,2,3,423,Others
73,5,1647.74,2,4,4,244,At Risk
84,1,213.0,2,1,1,211,Others
100,3,275.4,2,3,2,232,At Risk
218,1,310.83,1,1,2,112,Others
8,3,913.9,5,3,3,533,Loyal Customers
23,2,154.5,4,2,1,421,Others
117,3,641.36,2,3,3,233,At Risk
63,2,568.92,3,2,3,323,Others
214,3,2244.7,1,3,5,135,At Risk
7,46,23616.422,5,5,5,555,Champions
29,4,1198.9,4,4,4,444,Champions
256,1,487.35,1,1,2,112,Others
275,6,429.44,1,4,2,142,At Risk
99,3,1103.64,2,3,4,234,At Risk
108,4,784.17,2,4,3,243,At Risk
372,1,228.3,1,1,1,111,Others
183,4,1028.66,1,4,4,144,At Risk
8,15,6055.47,5,5,5,555,Champions
42,6,2225.04,3,4,5,345,Loyal Customers
64,1,217.03,3,1,1,311,Others
85,1,572.77,2,1,3,213,Others
144,2,1766.22,2,2,4,224,Others
18,12,4526.06,4,5,5,455,Champions
113,3,423.93,2,3,2,232,At Risk
150,2,276.76,2,2,2,222,Others
42,6,2047.14,3,4,4,344,Loyal Customers
207,2,439.1,1,2,2,122,Others
137,4,658.32,2,4,3,243,At Risk
21,3,1132.6200000000001,4,3,4,434,Loyal Customers
12,2,637.44,5,2,3,523,Others
183,1,46.5,1,1,1,111,Others
24,2,702.9,4,2,3,423,Others
59,7,1295.25,3,5,4,354,Loyal Customers
67,1,424.26,3,1,2,312,Others
303,3,419.87,1,3,2,132,At Risk
84,6,1273.16,2,4,4,244,At Risk
10,2,619.08,5,2,3,523,Others
262,1,241.89999999999998,1,1,1,111,Others
66,11,3881.89,3,5,5,355,Loyal Customers
9,9,5655.2,5,5,5,555,Champions
10,7,2076.32,5,5,4,554,Champions
17,6,4191.8,4,4,5,445,Champions
108,1,139.8,2,1,1,211,Others
38,1,424.71,3,1,2,312,Others
277,1,219.87,1,1,1,111,Others
2,5,1847.5900000000001,5,4,4,544,Champions
324,2,148.22,1,2,1,121,Others
15,2,2312.7000000000003,5,2,5,525,Others
260,2,1160.41,1,2,4,124,Others
43,3,2715.0,3,3,5,335,Loyal Customers
46,4,1002.35,3,4,4,344,Loyal Customers
30,5,2422.96,4,4,5,445,Champions
82,2,931.12,2,2,3,223,Others
44,4,705.45,3,4,3,343,Loyal Customers
4,38,7670.54,5,5,5,555,Champions
289,1,82.4,1,1,1,111,Others
99,2,592.24,2,2,3,223,Others
210,6,2235.12,1,4,5,145,At Risk
79,2,419.75,2,2,2,222,Others
42,3,823.0,3,3,3,333,Loyal Customers
91,5,1364.5900000000001,2,4,4,244,At Risk
105,5,2215.78,2,4,5,245,At Risk
88,2,550.42,2,2,3,223,Others
52,2,627.82,3,2,3,323,Others
10,6,2026.28,5,4,4,544,Champions
263,1,151.45,1,1,1,111,Others
19,2,476.92,4,2,2,422,Others
12,10,2564.98,5,5,5,555,Champions
141,2,271.47,2,2,2,222,Others
3,11,6619.57,5,5,5,555,Champions
290,1,154.25,1,1,1,111,Others
8,18,3350.7400000000002,5,5,5,555,Champions
4,6,3329.39,5,4,5,545,Champions
4,5,972.2800000000001,5,4,3,543,Loyal Customers
366,1,327.38,1,1,2,112,Others
37,1,299.53,3,1,2,312,Others
122,2,1544.79,2,2,4,224,Others
51,2,488.5,3,2,2,322,Others
115,5,1642.39,2,4,4,244,At Risk
5,4,1180.68,5,4,4,544,Champions
278,1,176.07999999999998,1,1,1,111,Others
143,1,135.0,2,1,1,211,Others
11,7,2766.73,5,5,5,555,Champions
312,1,282.76,1,1,2,112,Others
23,3,462.18,4,3,2,432,Loyal Customers
77,2,619.49,2,2,3,223,Others
64,3,663.7,3,3,3,333,Loyal Customers
85,2,374.7,2,2,2,222,Others
53,1,295.85,3,1,2,312,Others
78,1,220.46,2,1,1,211,Others
7,6,3285.05,5,4,5,545,Champions
2,2,1136.64,5,2,4,524,Others
374,2,1182.0,1,2,4,124,Others
54,5,2298.93,3,4,5,345,Loyal Customers
270,1,402.98,1,1,2,112,Others
2,5,1254.72,5,4,4,544,Champions
15,10,1850.82,5,5,4,554,Champions
38,1,89.5,3,1,1,311,Others
61,2,717.85,3,2,3,323,Others
32,5,1822.28,4,4,4,444,Champions
56,4,938.02,3,4,3,343,Loyal Customers
103,3,632.39,2,3,3,233,At Risk
63,2,785.25,3,2,3,323,Others
12,17,3959.4900000000002,5,5,5,555,Champions
270,2,1439.61,1,2,4,124,Others
47,4,514.14,3,4,3,343,Loyal Customers
26,2,364.93,4,2,2,422,Others
18,2,465.15,4,2,2,422,Others
44,1,167.08,3,1,1,311,Others
107,1,223.28,2,1,1,211,Others
23,1,87.6,4,1,1,411,Others
19,1,342.55,4,1,2,412,Others
302,1,152.39999999999998,1,1,1,111,Others
64,10,3208.85,3,5,5,355,Loyal Customers
310,1,499.6,1,1,3,113,Others
16,7,1629.35,4,5,4,454,Champions
14,9,4792.96,5,5,5,555,Champions
65,2,200.82,3,2,1,321,Others
51,11,2448.2,3,5,5,355,Loyal Customers
148,2,990.0,2,2,4,224,Others
33,10,1661.54,4,5,4,454,Champions
37,5,3038.85,3,4,5,345,Loyal Customers
4,35,15310.35,5,5,5,555,Champions
47,1,174.57999999999998,3,1,1,311,Others
70,3,831.76,3,3,3,333,Loyal Customers
64,4,1079.29,3,4,4,344,Loyal Customers
3,3,497.74,5,3,2,532,Loyal Customers
18,14,2448.32,4,5,5,455,Champions
15,4,614.27,5,4,3,543,Loyal Customers
47,1,404.45,3,1,2,312,Others
9,11,4834.4,5,5,5,555,Champions
18,7,1801.68,4,5,4,454,Champions
45,1,147.66,3,1,1,311,Others
5,4,1072.0,5,4,4,544,Champions
42,1,107.75,3,1,1,311,Others
50,1,162.53,3,1,1,311,Others
25,2,241.68,4,2,1,421,Others
315,1,664.001,1,1,3,113,Others
134,2,243.3,2,2,1,221,Others
166,3,684.54,2,3,3,233,At Risk
177,1,127.28,1,1,1,111,Others
85,3,961.1,2,3,3,233,At Risk
85,4,741.09,2,4,3,243,At Risk
11,12,4354.12,5,5,5,555,Champions
71,4,976.81,3,4,3,343,Loyal Customers
23,9,3481.4100000000003,4,5,5,455,Champions
121,1,136.35000000000002,2,1,1,211,Others
152,3,784.48,2,3,3,233,At Risk
36,2,396.71,4,2,2,422,Others
131,4,601.92,2,4,3,243,At Risk
2,14,5013.96,5,5,5,555,Champions
270,1,298.9,1,1,2,112,Others
28,2,466.67,4,2,2,422,Others
17,3,596.28,4,3,3,433,Loyal Customers
294,1,717.62,1,1,3,113,Others
23,2,522.67,4,2,3,423,Others
38,1,400.3,3,1,2,312,Others
176,1,232.05,2,1,1,211,Others
229,1,167.35,1,1,1,111,Others
23,7,1021.38,4,5,4,454,Champions
10,7,2143.53,5,5,5,555,Champions
268,1,818.29,1,1,3,113,Others
88,5,1039.8500000000001,2,4,4,244,At Risk
29,2,747.28,4,2,3,423,Others
35,7,5854.84,4,5,5,455,Champions
204,2,283.85,1,2,2,122,Others
44,5,734.57,3,4,3,343,Loyal Customers
180,2,224.94,1,2,1,121,Others
164,1,112.34,2,1,1,211,Others
332,1,658.95,1,1,3,113,Others
16,5,1805.32,4,4,4,444,Champions
24,1,462.08,4,1,2,412,Others
232,1,301.26,1,1,2,112,Others
15,1,449.81,5,1,2,512,Others
124,2,607.43,2,2,3,223,Others
312,1,310.14,1,1,2,112,Others
49,8,5578.5,3,5,5,355,Loyal Customers
30,3,1526.88,4,3,4,434,Loyal Customers
10,11,3486.41,5,5,5,555,Champions
78,3,1928.13,2,3,4,234,At Risk
72,1,312.93,2,1,2,212,Others
247,1,405.0,1,1,2,112,Others
276,5,1016.47,1,4,4,144,At Risk
68,3,159.92,3,3,1,331,Loyal Customers
18,7,1637.33,4,5,4,454,Champions
35,2,326.25,4,2,2,422,Others
130,4,1393.56,2,4,4,244,At Risk
36,8,1764.02,4,5,4,454,Champions
2,5,1304.88,5,4,4,544,Champions
10,4,1451.66,5,4,4,544,Champions
17,1,132.65,4,1,1,411,Others
4,3,1475.77,5,3,4,534,Loyal Customers
123,1,152.2,2,1,1,211,Others
16,5,3600.67,4,4,5,445,Champions
10,4,1347.54,5,4,4,544,Champions
135,2,699.2,2,2,3,223,Others
19,4,3386.33,4,4,5,445,Champions
52,10,3321.68,3,5,5,355,Loyal Customers
36,1,306.64,4,1,2,412,Others
239,1,325.24,1,1,2,112,Others
21,8,1352.35,4,5,4,454,Champions
16,4,1858.04,4,4,4,444,Champions
22,3,1711.66,4,3,4,434,Loyal Customers
56,2,43.25,3,2,1,321,Others
19,14,6638.650000000001,4,5,5,455,Champions
43,1,195.0,3,1,1,311,Others
30,1,172.6,4,1,1,411,Others
366,1,233.53,1,1,1,111,Others
68,1,240.68,3,1,1,311,Others
175,2,243.9,2,2,1,221,Others
40,2,551.24,3,2,3,323,Others
129,3,281.26,2,3,2,232,At Risk
107,8,7700.55,2,5,5,255,At Risk
93,1,258.6,2,1,2,212,Others
26,3,529.75,4,3,3,433,Loyal Customers
16,2,337.04,4,2,2,422,Others
74,1,11880.84,2,1,5,215,Others
271,1,375.5,1,1,2,112,Others
80,1,349.5,2,1,2,212,Others
32,1,212.78,4,1,1,411,Others
44,2,1626.08,3,2,4,324,Others
10,9,2011.8200000000002,5,5,4,554,Champions
9,94,131443.19,5,5,5,555,Champions
213,1,266.6,1,1,2,112,Others
57,3,2020.4,3,3,4,334,Loyal Customers
232,2,451.73,1,2,2,122,Others
186,1,455.57,1,1,2,112,Others
53,3,348.34,3,3,2,332,Loyal Customers
82,1,161.0,2,1,1,211,Others
81,1,135.18,2,1,1,211,Others
51,1,326.06,3,1,2,312,Others
9,5,1323.47,5,4,4,544,Champions
262,1,300.38,1,1,2,112,Others
65,3,2559.45,3,3,5,335,Loyal Customers
82,5,1263.7,2,4,4,244,At Risk
59,2,329.04,3,2,2,322,Others
42,7,1540.2,3,5,4,354,Loyal Customers
246,1,537.58,1,1,3,113,Others
44,3,740.76,3,3,3,333,Loyal Customers
101,1,161.35,2,1,1,211,Others
8,13,7348.3,5,5,5,555,Champions
93,2,318.29,2,2,2,222,Others
29,6,1741.4,4,4,4,444,Champions
31,1,217.39999999999998,4,1,1,411,Others
56,7,3260.0,3,5,5,355,Loyal Customers
28,5,994.23,4,4,4,444,Champions
273,1,213.01,1,1,1,111,Others
247,6,740.6700000000001,1,4,3,143,At Risk
23,10,1839.03,4,5,4,454,Champions
71,3,724.73,3,3,3,333,Loyal Customers
46,2,487.03000000000003,3,2,2,322,Others
144,4,6695.6900000000005,2,4,5,245,At Risk
12,9,6879.2300000000005,5,5,5,555,Champions
61,5,2022.67,3,4,4,344,Loyal Customers
32,1,434.78000000000003,4,1,2,412,Others
163,1,75.3,2,1,1,211,Others
51,4,1232.02,3,4,4,344,Loyal Customers
182,1,477.32,1,1,2,112,Others
49,1,176.69,3,1,1,311,Others
9,2,169.8,5,2,1,521,Others
9,5,1320.1,5,4,4,544,Champions
16,6,1954.92,4,4,4,444,Champions
163,1,404.45000000000005,2,1,2,212,Others
234,3,1353.31,1,3,4,134,At Risk
73,1,164.45,2,1,1,211,Others
3,10,3999.2300000000005,5,5,5,555,Champions
310,1,195.55,1,1,1,111,Others
2,10,6226.43,5,5,5,555,Champions
40,3,1076.85,3,3,4,334,Loyal Customers
138,4,881.52,2,4,3,243,At Risk
229,4,2165.76,1,4,5,145,At Risk
53,2,3502.48,3,2,5,325,Others
205,3,1400.2,1,3,4,134,At Risk
289,1,352.821,1,1,2,112,Others
131,1,190.35,2,1,1,211,Others
5,39,18320.170000000002,5,5,5,555,Champions
362,2,875.97,1,2,3,123,Others
3,11,3003.9100000000003,5,5,5,555,Champions
58,4,785.37,3,4,3,343,Loyal Customers
169,5,3094.37,2,4,5,245,At Risk
36,5,1977.39,4,4,4,444,Champions
32,2,301.54,4,2,2,422,Others
226,1,1049.66,1,1,4,114,Others
64,2,623.98,3,2,3,323,Others
2,37,30501.260000000002,5,5,5,555,Champions
127,3,945.79,2,3,3,233,At Risk
151,1,161.13,2,1,1,211,Others
43,1,372.06,3,1,2,312,Others
228,2,650.99,1,2,3,123,Others
89,7,877.22,2,5,3,253,At Risk
123,4,1542.09,2,4,4,244,At Risk
70,3,447.44,3,3,2,332,Loyal Customers
64,4,542.49,3,4,3,343,Loyal Customers
3,6,3127.9900000000002,5,4,5,545,Champions
94,4,913.46,2,4,3,243,At Risk
141,1,3.75,2,1,1,211,Others
24,1,239.46,4,1,1,411,Others
58,1,188.4,3,1,1,311,Others
282,1,96.0,1,1,1,111,Others
182,1,126.03,1,1,1,111,Others
24,4,836.3,4,4,3,443,Loyal Customers
135,1,289.7,2,1,2,212,Others
72,3,1179.45,2,3,4,234,At Risk
8,54,38683.02,5,5,5,555,Champions
80,7,2114.71,2,5,4,254,At Risk
66,2,1121.24,3,2,4,324,Others
10,16,21659.69,5,5,5,555,Champions
67,2,1061.84,3,2,4,324,Others
71,2,572.73,3,2,3,323,Others
3,3,422.2,5,3,2,532,Loyal Customers
30,2,524.65,4,2,3,423,Others
163,4,1398.6100000000001,2,4,4,244,At Risk
163,1,678.2,2,1,3,213,Others
42,4,3448.38,3,4,5,345,Loyal Customers
65,1,61.28,3,1,1,311,Others
305,3,1502.0,1,3,4,134,At Risk
54,3,652.75,3,3,3,333,Loyal Customers
29,4,993.44,4,4,4,444,Champions
16,5,2445.79,4,4,5,445,Champions
15,7,1615.82,5,5,4,554,Champions
257,2,255.59,1,2,2,122,Others
57,1,102.0,3,1,1,311,Others
217,1,156.85000000000002,1,1,1,111,Others
5,13,4795.09,5,5,5,555,Champions
58,1,557.69,3,1,3,313,Others
40,1,316.56,3,1,2,312,Others
212,2,324.19,1,2,2,122,Others
155,3,260.7,2,3,2,232,At Risk
35,2,620.37,4,2,3,423,Others
5,7,1245.91,5,5,4,554,Champions
122,1,139.95000000000002,2,1,1,211,Others
52,1,651.4,3,1,3,313,Others
2,10,2244.29,5,5,5,555,Champions
17,1,319.75,4,1,2,412,Others
35,1,442.73,4,1,2,412,Others
355,1,310.72,1,1,2,112,Others
2,6,2080.0,5,4,4,544,Champions
33,3,1931.35,4,3,4,434,Loyal Customers
15,5,1955.0,5,4,4,544,Champions
246,1,187.35000000000002,1,1,1,111,Others
1,15,4144.44,5,5,5,555,Champions
136,4,1310.3400000000001,2,4,4,244,At Risk
99,8,753.53,2,5,3,253,At Risk
29,6,1001.01,4,4,4,444,Champions
165,1,314.7,2,1,2,212,Others
65,2,273.26,3,2,2,322,Others
25,1,346.73,4,1,2,412,Others
101,3,933.77,2,3,3,233,At Risk
22,1,662.4000000000001,4,1,3,413,Others
17,6,4913.22,4,4,5,445,Champions
23,7,2941.14,4,5,5,455,Champions
64,4,1482.6000000000001,3,4,4,344,Loyal Customers
163,3,919.57,2,3,3,233,At Risk
19,5,649.32,4,4,3,443,Loyal Customers
140,6,1508.7,2,4,4,244,At Risk
23,9,3027.58,4,5,5,455,Champions
106,2,332.44,2,2,2,222,Others
183,3,1145.33,1,3,4,134,At Risk
281,1,395.5,1,1,2,112,Others
3,5,1171.89,5,4,4,544,Champions
11,23,28019.58,5,5,5,555,Champions
39,10,3885.54,3,5,5,355,Loyal Customers
12,5,1037.43,5,4,4,544,Champions
40,5,1405.92,3,4,4,344,Loyal Customers
18,5,1574.3300000000002,4,4,4,444,Champions
10,4,1043.57,5,4,4,544,Champions
14,3,859.21,5,3,3,533,Loyal Customers
113,2,634.68,2,2,3,223,Others
151,2,1415.45,2,2,4,224,Others
261,1,388.55,1,1,2,112,Others
74,2,849.5600000000001,2,2,3,223,Others
47,1,530.47,3,1,3,313,Others
25,3,869.64,4,3,3,433,Loyal Customers
10,10,2809.14,5,5,5,555,Champions
268,5,34095.26,1,4,5,145,At Risk
36,1,165.45000000000002,4,1,1,411,Others
368,1,312.65,1,1,2,112,Others
45,1,42.0,3,1,1,311,Others
327,1,136.8,1,1,1,111,Others
59,2,282.85,3,2,2,322,Others
15,11,1654.08,5,5,4,554,Champions
59,1,124.95,3,1,1,311,Others
142,1,42.22,2,1,1,211,Others
30,1,70.80000000000001,4,1,1,411,Others
99,4,1275.81,2,4,4,244,At Risk
60,2,975.87,3,2,3,323,Others
67,4,1774.68,3,4,4,344,Loyal Customers
38,4,730.7,3,4,3,343,Loyal Customers
73,2,692.95,2,2,3,223,Others
73,1,359.27,2,1,2,212,Others
52,9,2651.45,3,5,5,355,Loyal Customers
28,9,4019.85,4,5,5,455,Champions
232,3,6116.92,1,3,5,135,At Risk
18,2,563.08,4,2,3,423,Others
38,1,721.28,3,1,3,313,Others
67,4,992.41,3,4,4,344,Loyal Customers
8,11,6009.34,5,5,5,555,Champions
170,1,320.0,2,1,2,212,Others
213,1,246.54000000000002,1,1,1,111,Others
289,1,200.43,1,1,1,111,Others
30,2,854.1500000000001,4,2,3,423,Others
12,3,1314.66,5,3,4,534,Loyal Customers
47,3,446.76,3,3,2,332,Loyal Customers
16,12,9572.45,4,5,5,455,Champions
45,5,3125.0,3,4,5,345,Loyal Customers
11,1,221.10999999999999,5,1,1,511,Others
53,3,458.25,3,3,2,332,Loyal Customers
15,8,4709.2300000000005,5,5,5,555,Champions
35,3,470.73,4,3,2,432,Loyal Customers
28,1,538.4,4,1,3,413,Others
71,1,193.25,3,1,1,311,Others
3,14,2347.33,5,5,5,555,Champions
23,2,438.9,4,2,2,422,Others
112,3,996.61,2,3,4,234,At Risk
71,1,384.26,3,1,2,312,Others
32,1,85.6,4,1,1,411,Others
59,1,123.66,3,1,1,311,Others
1,18,4266.88,5,5,5,555,Champions
22,2,846.55,4,2,3,423,Others
59,6,1909.31,3,4,4,344,Loyal Customers
218,1,264.13,1,1,2,112,Others
29,6,2795.16,4,4,5,445,Champions
142,3,834.38,2,3,3,233,At Risk
47,1,519.8100000000001,3,1,3,313,Others
29,6,2510.06,4,4,5,445,Champions
75,4,568.68,2,4,3,243,At Risk
51,1,331.14,3,1,2,312,Others
1,6,2511.08,5,4,5,545,Champions
2,10,4479.82,5,5,5,555,Champions
2,8,1128.09,5,5,4,554,Champions
10,7,2960.73,5,5,5,555,Champions
15,2,682.54,5,2,3,523,Others
19,2,609.84,4,2,3,423,Others
100,3,759.98,2,3,3,233,At Risk
16,2,142.7,4,2,1,421,Others
15,10,3309.35,5,5,5,555,Champions
15,9,2508.32,5,5,5,555,Champions
22,2,895.76,4,2,3,423,Others
155,3,376.46,2,3,2,232,At Risk
82,3,566.7,2,3,3,233,At Risk
10,17,5600.45,5,5,5,555,Champions
50,4,1410.68,3,4,4,344,Loyal Customers
9,7,2487.01,5,5,5,555,Champions
368,1,209.41,1,1,1,111,Others
29,4,1675.81,4,4,4,444,Champions
164,4,1234.48,2,4,4,244,At Risk
148,1,79.48,2,1,1,211,Others
68,1,509.04,3,1,3,313,Others
98,1,404.29999999999995,2,1,2,212,Others
201,2,445.15,1,2,2,122,Others
116,2,457.82,2,2,2,222,Others
16,2,611.55,4,2,3,423,Others
12,2,1443.03,5,2,4,524,Others
32,7,7062.2,4,5,5,455,Champions
207,1,229.75,1,1,1,111,Others
281,1,367.15,1,1,2,112,Others
112,2,606.21,2,2,3,223,Others
10,4,1084.68,5,4,4,544,Champions
122,1,352.15000000000003,2,1,2,212,Others
26,1,318.04,4,1,2,412,Others
100,8,4057.9,2,5,5,255,At Risk
106,2,713.11,2,2,3,223,Others
186,3,10396.5,1,3,5,135,At Risk
2,14,5839.46,5,5,5,555,Champions
1,27,23632.72,5,5,5,555,Champions
2,6,1874.68,5,4,4,544,Champions
191,1,109.44,1,1,1,111,Others
42,4,1366.73,3,4,4,344,Loyal Customers
114,4,689.75,2,4,3,243,At Risk
33,2,1509.5,4,2,4,424,Others
211,1,115.08000000000001,1,1,1,111,Others
22,23,8963.49,4,5,5,455,Champions
361,1,431.98,1,1,2,112,Others
127,2,302.59999999999997,2,2,2,222,Others
54,6,2431.28,3,4,5,345,Loyal Customers
9,13,9653.28,5,5,5,555,Champions
8,10,2946.42,5,5,5,555,Champions
18,2,338.76,4,2,2,422,Others
23,9,7444.68,4,5,5,455,Champions
2,15,6784.01,5,5,5,555,Champions
26,1,241.3,4,1,1,411,Others
33,2,312.05,4,2,2,422,Others
213,2,795.3199999999999,1,2,3,123,Others
17,5,2135.0,4,4,4,444,Champions
98,2,469.19,2,2,2,222,Others
2,13,3378.66,5,5,5,555,Champions
143,3,917.4300000000001,2,3,3,233,At Risk
10,12,15120.800000000001,5,5,5,555,Champions
74,9,22710.2,2,5,5,255,At Risk
66,10,1925.9,3,5,4,354,Loyal Customers
25,3,891.02,4,3,3,433,Loyal Customers
239,3,1250.8700000000001,1,3,4,134,At Risk
150,2,225.81,2,2,1,221,Others
320,1,321.6,1,1,2,112,Others
302,1,390.85,1,1,2,112,Others
259,1,219.4,1,1,1,111,Others
39,3,792.61,3,3,3,333,Loyal Customers
31,1,115.66,4,1,1,411,Others
9,4,640.34,5,4,3,543,Loyal Customers
318,1,243.63,1,1,1,111,Others
49,4,1070.08,3,4,4,344,Loyal Customers
5,9,4369.47,5,5,5,555,Champions
28,1,231.10999999999999,4,1,1,411,Others
7,3,373.3,5,3,2,532,Loyal Customers
148,1,150.5,2,1,1,211,Others
4,16,5607.43,5,5,5,555,Champions
98,1,39.95,2,1,1,211,Others
40,2,638.0,3,2,3,323,Others
42,3,13544.99,3,3,5,335,Loyal Customers
290,2,9530.08,1,2,5,125,Others
10,10,3152.54,5,5,5,555,Champions
75,1,311.77,2,1,2,212,Others
358,1,2.95,1,1,1,111,Others
117,2,422.86,2,2,2,222,Others
11,9,2646.7400000000002,5,5,5,555,Champions
24,7,3985.14,4,5,5,455,Champions
25,3,527.3199999999999,4,3,3,433,Loyal Customers
44,4,4722.6,3,4,5,345,Loyal Customers
373,1,214.8,1,1,1,111,Others
84,4,2174.07,2,4,5,245,At Risk
367,2,447.05,1,2,2,122,Others
71,21,7304.8,3,5,5,355,Loyal Customers
87,6,2919.44,2,4,5,245,At Risk
11,12,5252.1900000000005,5,5,5,555,Champions
31,5,977.5600000000001,4,4,3,443,Loyal Customers
137,2,622.67,2,2,3,223,Others
64,1,458.45,3,1,2,312,Others
11,2,183.37,5,2,1,521,Others
42,3,362.42,3,3,2,332,Loyal Customers
369,1,436.18,1,1,2,112,Others
80,1,466.33000000000004,2,1,2,212,Others
16,3,1190.3700000000001,4,3,4,434,Loyal Customers
187,1,286.71,1,1,2,112,Others
35,4,1467.48,4,4,4,444,Champions
11,3,1377.86,5,3,4,534,Loyal Customers
284,1,168.22,1,1,1,111,Others
369,1,305.5,1,1,2,112,Others
18,15,11123.35,4,5,5,455,Champions
3,11,4953.61,5,5,5,555,Champions
36,5,1570.81,4,4,4,444,Champions
331,1,332.7,1,1,2,112,Others
126,3,670.98,2,3,3,233,At Risk
9,2,671.34,5,2,3,523,Others
122,1,30.6,2,1,1,211,Others
95,3,3857.85,2,3,5,235,At Risk
19,7,5259.3,4,5,5,455,Champions
24,7,2106.8,4,5,4,454,Champions
50,1,309.09000000000003,3,1,2,312,Others
309,2,679.45,1,2,3,123,Others
23,5,1376.05,4,4,4,444,Champions
119,1,233.39999999999998,2,1,1,211,Others
17,6,5115.08,4,4,5,445,Champions
7,102,196549.74,5,5,5,555,Champions
25,3,553.8000000000001,4,3,3,433,Loyal Customers
15,9,3230.45,5,5,5,555,Champions
246,7,8421.47,1,5,5,155,At Risk
5,5,2182.46,5,4,5,545,Champions
98,1,148.71,2,1,1,211,Others
141,2,251.15,2,2,2,222,Others
100,4,711.7,2,4,3,243,At Risk
56,2,370.45,3,2,2,322,Others
66,2,621.51,3,2,3,323,Others
11,3,570.18,5,3,3,533,Loyal Customers
366,1,135.0,1,1,1,111,Others
241,3,369.02,1,3,2,132,At Risk
277,2,135.16,1,2,1,121,Others
54,5,4456.58,3,4,5,345,Loyal Customers
3,2,339.11,5,2,2,522,Others
17,9,1660.23,4,5,4,454,Champions
8,9,1570.73,5,5,4,554,Champions
46,2,308.35,3,2,2,322,Others
79,4,678.77,2,4,3,243,At Risk
47,2,278.34000000000003,3,2,2,322,Others
63,5,1550.63,3,4,4,344,Loyal Customers
109,1,123.5,2,1,1,211,Others
4,2,1160.31,5,2,4,524,Others
302,1,79.9,1,1,1,111,Others
30,2,132.9,4,2,1,421,Others
24,1,293.74,4,1,2,412,Others
32,1,356.8,4,1,2,412,Others
28,15,7321.070000000001,4,5,5,455,Champions
75,4,1603.6,2,4,4,244,At Risk
46,1,390.05,3,1,2,312,Others
36,5,868.33,4,4,3,443,Loyal Customers
59,3,906.3,3,3,3,333,Loyal Customers
253,1,379.2,1,1,2,112,Others
45,3,446.1,3,3,2,332,Loyal Customers
17,3,847.76,4,3,3,433,Loyal Customers
33,1,339.34,4,1,2,412,Others
58,3,874.22,3,3,3,333,Loyal Customers
30,7,1947.5,4,5,4,454,Champions
24,2,856.85,4,2,3,423,Others
323,1,157.8,1,1,1,111,Others
187,1,415.31,1,1,2,112,Others
21,9,2919.84,4,5,5,455,Champions
7,11,3955.6800000000003,5,5,5,555,Champions
47,9,2161.19,3,5,5,355,Loyal Customers
81,1,1119.66,2,1,4,214,Others
40,1,1192.2,3,1,4,314,Others
4,4,1626.6100000000001,5,4,4,544,Champions
50,1,310.74,3,1,2,312,Others
2,7,1411.91,5,5,4,554,Champions
45,2,543.89,3,2,3,323,Others
203,2,882.5999999999999,1,2,3,123,Others
85,8,3084.69,2,5,5,255,At Risk
26,5,831.98,4,4,3,443,Loyal Customers
70,4,2031.07,3,4,4,344,Loyal Customers
77,1,770.34,2,1,3,213,Others
50,5,3017.75,3,4,5,345,Loyal Customers
